"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1968647419786145924","Thu Sep 18 12:05:01 +0000 2025","0","Orang2 di medsos udah mulai connect the dots antara demo rusuh penjarahan sampe reshuffle. Apakah ini kebetulan doang? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647444868042826","","Arindra__","in","","0","1","0","https://x.com/undefined/status/1968647444868042826","1371758127104757761",
"1968647426970894349","Thu Sep 18 12:04:59 +0000 2025","0","Di sisi lain Hendrar Prihadi kena sikat. Publik bisik-bisik ini ada hubungannya sama demo rusuh plus penjarahan kemarin? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647437385351418","","Soldier254109","in","","0","1","0","https://x.com/undefined/status/1968647437385351418","1958015030907269121",
"1968647419786145924","Thu Sep 18 12:04:57 +0000 2025","0","Apalagi di saat yg sama Hendrar Prihadi dan Budi Gunawan justru diberhentikan. Timingnya pasca demo rusuh+penjarahan bikin makin banyak dugaan publik. PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647428816408943","","Arindra__","in","","0","1","0","https://x.com/undefined/status/1968647428816408943","1371758127104757761",
"1968647409929494751","Thu Sep 18 12:04:57 +0000 2025","0","Budi Gunawan pun tergeser. Dan waktunya bertepatan dengan demo rusuh plus penjarahan. Kebetulan? Atau justru tanda bahwa benang merahnya sudah terbaca? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647427839098917","","Sr1kandi75","in","","0","1","0","https://x.com/undefined/status/1968647427839098917","1917968293157294080",
"1968647410155987344","Thu Sep 18 12:04:56 +0000 2025","0","Yang dapet kejutan malah Hendrar Prihadi &amp; Budi Gunawan. Dicopot langsung setelah episode demo rusuh + penjarahan. PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647426299801885","","akunasjad1482","in","","0","1","0","https://x.com/undefined/status/1968647426299801885","1656513378935001089",
"1968647408264294609","Thu Sep 18 12:04:55 +0000 2025","0","Publik mulai nyambungin titik-titik: demo rusuh → penjarahan → reshuffle → PDIP out. Mirip puzzle horror makin lama makin jelas gambarnya. PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647421350613448","","Optimispus","in","","0","1","0","https://x.com/undefined/status/1968647421350613448","795277843408166913",
"1968647383983510007","Thu Sep 18 12:04:53 +0000 2025","0","Knp yak setelah demo rusuh &amp; penjarahan malah Budi Gunawan dan Hendrar Prihadi yg ditendang? Kgk ada yg curiga yak? Ato mungkin PDIP yg emang jago bgt bikin skenario supaya publik lupa? Mungkin mereka terlalu ahli nyembunyiin bukti? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647412324454710","","NN_MEYLIN","in","","0","1","0","https://x.com/undefined/status/1968647412324454710","2957636371",
"1968647377176150196","Thu Sep 18 12:04:49 +0000 2025","0","Ditambah lagi momen rusuh + penjarahan bikin spekulasi makin liar. PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647395874308544","","old_paperzoo","in","","0","1","0","https://x.com/undefined/status/1968647395874308544","1550384445697724416",
"1968647370624659780","Thu Sep 18 12:04:48 +0000 2025","0","Plus pemberhentian Hendrar Prihadi makin bikin suasana politik makin panas. Apalagi momentumnya pasca demo rusuh + penjarahan. PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647390082077178","","FrazHens","in","","0","1","0","https://x.com/undefined/status/1968647390082077178","1943263588552208385",
"1968647363364262082","Thu Sep 18 12:04:44 +0000 2025","0","Apalagi demo rusuh kemarin sempet ada penjarahan. Warga jadi mikir kok bisa chaos segitunya? Ada yang ngatur atau cuma spontanitas? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647376840675492","","ardinat4_","in","","0","1","0","https://x.com/undefined/status/1968647376840675492","1664162559510077442",
"1968647372679827916","Thu Sep 18 12:04:44 +0000 2025","0","Trus barengan ada ricuh demo plus penjarahan. Koneksi publik langsung kebentuk. PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647376677003515","","gxjdvh79","in","","0","1","0","https://x.com/undefined/status/1968647376677003515","3300005635",
"1968647362844201334","Thu Sep 18 12:04:43 +0000 2025","0","Penjarahan di demo aneh bgt. Publik mulai sadar siapa yg diuntungkan. Jawaban ada: PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647370230411459","","lalalilisa69","in","","0","1","0","https://x.com/undefined/status/1968647370230411459","1951139146141237248",
"1968646994873708635","Thu Sep 18 12:04:09 +0000 2025","0","Rusuh demo dan penjarahan kemarin bikin suasana makin panas reshuffle pun langsung kena sorot publik apalagi nyambung sama isu #Bersih2AnasirMerah. PRABOWO IN PDIP OUT","1968647227158475217","","Adinda_namaku","in","","0","0","0","https://x.com/undefined/status/1968647227158475217","1942479147944796160",
"1968647210922319921","Thu Sep 18 12:04:08 +0000 2025","0","Banyak yang mikir apakah ada benang merah antara kerusuhan penjarahan sama pergeseran kursi ini PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647223161360877","","YankeePaul71","in","","0","1","0","https://x.com/undefined/status/1968647223161360877","1438673521756938248",
"1968647208078577690","Thu Sep 18 12:04:07 +0000 2025","0","Pasca demo rusuh+penjarahan publik mulai nanya apakah reshuffle yg dilakukan Presiden PRABOWO IN PDIP OUT ada hubungannya sama situasi tersebut? Mengingat ada dugaan PDIP ikut bermain. #Bersih2AnasirMerah","1968647221076718077","","Juna99Ind","in","","0","1","0","https://x.com/undefined/status/1968647221076718077","1731874690610958336",
